SELL ORDERS                    BUY ORDERS
PRICE          ETH             PRICE          ETH
0.00966289        0.36280672   0.00963513      403.93850420
0.00966704        0.03037460   0.00963512      406.69649101
0.00966999       22.72420117   0.00963507       50.98510000
0.00967000       10.00000000   0.00963505      185.15660000
0.00967139        0.01040469   0.00963502       82.22720000
0.00967394        0.02067409   0.00963499       82.20810000
0.00967582        0.05631351   0.00963445       87.59040000
0.00967654       82.81279483   0.00963329       91.43650000
0.00967701        3.07326278   0.00963155        0.37429113
0.00968123        1.99000000   0.00963134       90.66690000
0.00968150       71.92670000   0.00963102       94.78630000
0.00968151       42.01097875   0.00963101      215.11649983
0.00968267        0.07829923   0.00963100      248.74675527
0.00968350        0.75417686   0.00962607        1.01679582
0.00968362        0.02065342   0.00962606        0.02012193
0.00968456        0.05575109   0.00962601       34.31890000
0.00968457        0.07743712   0.00962101       25.07480000
0.00968895       71.73600000   0.00961812       38.34010000
0.00968896        0.05383694   0.00961600        0.10000000
0.00968988      113.56850000   0.00961457       41.25900000
